Country,Mortality,GDP,Code,Continent
Philippines,22.2,2788.377358,PHL,Asia
Palau,14.2,10926.3179,PLW,Australia
Papua New Guinea,44.5,2108.831643,PNG,Australia
Poland,4.5,13829.16214,POL,Europe
Puerto Rico,,28681.70071,PRI,North America
Korea_ Dem. Rep.,19.7,1800,PRK,Asia
Portugal,3,21507.7112,PRT,Europe
Paraguay,17.5,4469.245274,PRY,South America
Qatar,6.8,96719.32873,QAT,Middle East
Romania,9.7,9489.693009,ROU,Europe
Russian Federation,8.2,14487.27987,RUS,Asia
Rwanda,31.1,678.9981669,RWA,Africa
Saudi Arabia,12.5,24646.02087,SAU,Middle East
Sudan,47.6,1726.094471,SDN,Africa
Senegal,41.7,1040.127724,SEN,Africa
Singapore,2.1,55979.75705,SGP,Asia
Solomon Islands,23.6,1889.991818,SLB,Australia
Sierra Leone,87.1,797.6024353,SLE,Africa
El Salvador,14.4,3983.664727,SLV,North America
San Marino,2.6,"62,188.93",SMR,Europe
Somalia,85,187,SOM,Africa
Serbia,5.9,6353.826383,SRB,Europe
Sao Tome and Principe,34.6,1703.445393,STP,Africa
Suriname,19,9933.054417,SUR,South America
Slovak Republic,5.8,18050.17245,SVK,Europe
Slovenia,2.1,23296.57769,SVN,Europe
Sweden,2.4,60364.9094,SWE,Europe
Swaziland,44.5,2822.733712,SWZ,Africa
Seychelles,11.7,15695.59289,SYC,Africa
Syrian Arab Republic,11.1,"2,065.54",SYR,Middle East
Chad,85,985.0952473,TCD,Africa
Togo,52.3,626.1728171,TGO,Africa
Thailand,10.5,5741.207122,THA,Asia
Tajikistan,38.5,1048.659569,TJK,Asia
Turkmenistan,43.7,7826.773607,TKM,Asia
Timor-Leste,44.7,1243.995055,TLS,Australia
Tonga,14.4,4117.31098,TON,Australia
Trinidad and Tobago,18.2,18122.74721,TTO,South America
Tunisia,12.1,4316.796402,TUN,Africa
Turkey,11.6,10975.07493,TUR,Middle East
Tuvalu,22.8,3880.352322,TUV,Australia
Tanzania,35.2,927.0601337,TZA,Africa
Uganda,37.7,675.4433134,UGA,Africa
Ukraine,7.7,4029.715504,UKR,Europe
Uruguay,8.7,16879.45316,URY,South America
United States,5.6,52980.04363,USA,North America
Uzbekistan,33.9,1877.964512,UZB,Asia
St. Vincent and the Grenadines,16.6,6575.498106,VCT,South America
Venezuela_ RB,12.9,12265.03114,VEN,South America
Vietnam,17.3,1908.64034,VNM,Asia
Vanuatu,23.1,3167.055303,VUT,Australia
West Bank and Gaza,18,2992.200993,PSE,Asia
Samoa,15,4180.6182,WSM,Australia
Yemen_ Rep.,33.8,1408.146193,YEM,Middle East
South Africa,33.6,6886.290406,ZAF,Africa
Congo_ Dem. Rep.,74.5,413.6970577,COD,Africa
Zambia,43.3,1759.192902,ZMB,Africa
Zimbabwe,46.6,905.5003242,ZWE,Africa
Palestine,23,2782.91,PSE,Middle East
